WARD,DIVISION,DIVISION_NUM,TIME,COMPLAINT,REPAIRS MADE
1,4,0104,9:40 AM,POWER FAILURE,BROKE OLD SEAL REPLACED WITH # 0023993 AND ADDED SURGE SWITCH TURNED ON AFTER FUSES WERE CHECKED
1,4,0104,2:45 PM,MATRIX BRD,REPLACED MATRIX BRD- OLD SEAL # 00200008 NEW SEAL # 0027585
1,17,0117,8:30 AM,POWER FAILURE,MACHINE RUNNING ON BATTERY DUE TO DEFECTIVE POWER CORD
1,17,0117,2:15 PM,ERROR CODE 505,MACHINE RESET
1,17,0117,6:39 PM,ERROR CODE 070,MACHINE RESET
1,20,0120,12:10 PM,MACHINE SHUT DOWN 2X - E070,MACHINE RESET
21,2,2102,8:35 AM,VOTER HAD PROBLEM WITH WRIT-IN VOTE,RESET MACHINE 3X'S ADJUSTED PRINTER TO FREE STUCK PAPER
21,14,2114,2:15 PM,POWER FAILURE,
21,21,2121,7:45 AM,PAPER JAM,
21,24,2124,10:00 AM,ERROR CODE 070,RESET MACHINE
21,25,2125,2:18 PM,POWER FAILURE,RESET MACHINE
21,34,2134,11:25 AM,POWER OUT,
21,37,2137,9:20 AM,POWER FAILURE,RESET MACHINE
21,45,2145,5:52 AM,SHUTTER WILL NOT OPEN,
29,2,2902,8:57 AM,ERROR CODE 070,MACHINE RESET
29,2,2902,11:02 AM,ERROR CODE 071,PRINTER CHANGED
29,9,2909,8:00 AM,POWER FAILURE,
29,10,2910,9:42 AM,POWER FAILURE,REBOOT MACHINE
29,14,2914,8:13 AM,POWER FAILURE,MACHINE RESET
29,17,2917,8:38 AM,POWER FAILURE,MACHINE RESET
30,1,3001,12:30 PM,WRITE-IN WINDOW JAMMED,MACHINE RESET
30,4,3004,8:10 AM,NO POWER,MACHINE RESET
30,14,3014,1:30 PM,POWER FAILURE,MACHINE RESET
30,15,3015,9:45 AM,VOTE BUTTON NOT WORKING,REPLACEMENT MACHINE BEING SENT OUT
30,15,3015,6:15 PM,POWER FAILURE,MACHINE RESET
30,17,3017,6:40 PM,ERROR CODE 070,REPLACED PRINTER
39,1,3901,9:10 AM,CANDIDATE(TRUMP) BUTTON STICKING,REPLACED MATRIX BRD
39,12,3912,8:30 AM,CANADIDATE(TOOMEY) BUTTON STICKING,REPLACED MATRIX BRD
39,14,3914,8:10 AM,LIGHT NOT WORKING FOR THE YES QUESTION,REPLACED MATRIX BRD
39,19,3919,9:30 AM,ERROR CODE 070,REPLACED PRINTER
39,23,3923,7:11 AM,PAPER JAMM,RESET PRINTER
39,31,3931,7:30 AM,ERROR CODE 061,RESET MACHINE
39,39,3939,8:59 AM,CANDIDATE LIGHT NOT WORKING,
39,45,3945,8:51 AM,NO POWER,RESET MACHINE
40,12,4012,5:30 PM,NO POWER,MACHINE RESET
40,14,4014,7:40 AM,ERROR CODE 070,CHANGED PRINTER AND RESET MACHINE
40,37,4037,7:13 AM,POWER FAILURE,CHANGED BATTERY
40,41,4041,12:05 PM,ERROR CODE 070,
40,41,4041,2:40 PM,PRINTER PROBLEM,CHANGED PRINTER
40,50,4050,3:00 PM,LOST POWER,CHANGED CORDS/RESET MACHINE
48,1,4801,12:30 PM,PRINTER SHUTTER WILL NOT OPEN,MACHINE RESET
48,2,4802,8:25 AM,ERROR CODE 006,RESET MACHINE
48,9,4809,7:44 AM,MACHINE NOT WORKING,REPLACEMENT MACHINE BEING SENT OUT
48,11,4811,7:03 AM,PRINTER/PRINTER SHUTTER WILL NOT OPEN,CHANGED PRINTER
48,13,4813,12:42 PM,POWER OUT,RESET MACHINE
48,15,4815,10:48 AM,PRINTER PROBLEM - E072,REPLACED PRINTER
48,18,4818,2:41 PM,MACHINE WILL NOT POWER UP,REPLACEMENT MACHINE BEING SENT OUT
48,23,4823,8:16 AM,PAPER COMING OUT OF FRONT OF MACHINE,
49,7,4907,1:00 PM,ERROR CODE 070,REPLACED PRINTER
49,20,4920,9:36 AM,PRINTER/PRINTER SHUTTER WILL NOT OPEN,REPLACED PRINTER
49,21,4921,7:34 AM,ERROR CODE 070,MACHINE RESET
49,21,4921,9:10 AM,ERROR CODE 070 ,REPLACED PRINTER
49,21,4921,1:05 PM,BALLOT NEED TO BE ADJUSTED,ADJUSTED BALLOT
49,21,4921,4:15 PM,NO POWER TO THE BACK OF MACHINE,MACHINE RESET
51,2,5102,7:00 AM,ERROR CODE 061,RESET MACHINE
51,9,5109,10:55 AM,ERROR CODE 070,
51,9,5109,4:25 PM,PRINTER PROBLEM,RESET MACHINE
51,11,5111,2:00 PM,ERROR CODE 070,REPLACED PRINTER
51,13,5113,8:15 AM,POWER FAILURE,RESET MACHINE
51,19,5119,7:30 AM,,RESET MACHINE
51,23,5123,1:00 PM,PAPER JAM,CLEARED PAPER JAM
51,27,5127,2:55 PM,POWER FAILURE,RESET MACHINE
51,28,5128,4:50 PM,POWER PROBLEM,RESET MACHINE
